ID,Target,Date,UT,Filter,alpha,P,eP,theta,theta,Pr,theater,Inst
,,(YY-MM-DD),,,(deg),(%),(%),(deg),(deg),(%),(deg),
586,586 Thekla,20-08-12,16:00--16:36, Rc,11.04,2.07,0.19,66.21,2.67,-2.06,92.26,MSI
586,586 Thekla,20-08-17,15:10--16:01, Rc,9.60,1.76,0.14,60.81,2.21,-1.75,87.47,MSI
586,586 Thekla,20-08-21,16:21--16:34, Rc,8.35,1.53,0.12,65.24,2.24,-1.52,92.57,MSI
586,586 Thekla,20-08-26,12:34--13:40, Rc,6.75,1.36,0.12,58.89,2.52,-1.36,87.36,MSI
602,602 Marianna,20-03-24,15:39--16:03,  Rc,9.66,1.55,0.11,-73.64,1.98,-1.55,89.01,MSI
602,602 Marianna,20-03-29,14:02--14:26, Rc,10.84,1.92,0.11,-72.92,1.66,-1.92,89.60,MSI
602,602 Marianna,20-04-11,15:39--16:03, Rc,13.36,1.55,0.25,-80.69,4.71,-1.48,81.46,MSI
602,602 Marianna,20-04-13,14:58--15:21, Rc,13.67,1.62,0.26,-62.50,4.56,-1.53,99.58,MSI
602,602 Marianna,23-06-19,16:22--16:32, Rc,24.57,1.19,0.07,-27.46,1.72,1.18,-4.04,MSI
618,618 Elfriede,23-06-26,12:29--12:29, Rc,5.29,1.12,0.60,53.10,18.34,-0.80,74.08,MSI
771,771 Libera,20-08-22,15:58--16:25,Rc,11.31,1.14,0.17,-70.71,4.19,-1.14,88.64,MSI
776,776 Berbericia,20-03-23,12:56--13:20, Rc,8.03,1.62,0.05,-3.50,0.86,-1.60,85.22,MSI
776,776 Berbericia,20-03-26,12:58--13:22, Rc,8.41,1.66,0.05,-10.38,0.85,-1.64,85.32,MSI
776,776 Berbericia,20-03-29,15:28--16:12, Rc,8.89,1.76,0.04,-18.38,0.67,-1.72,83.84,MSI
776,776 Berbericia,20-04-12,12:28--13:06, Rc,11.45,1.92,0.06,-36.85,0.88,-1.90,86.55,MSI
776,776 Berbericia,20-05-07,14:51--15:15, Rc,15.55,1.50,0.08,-56.61,1.55,-1.49,86.40,MSI
776,776 Berbericia,20-05-15,16:02--16:26, Rc,16.41,1.56,0.21,-56.23,3.80,-1.56,90.61,MSI
776,776 Berbericia,23-09-02,16:49--16:55, Rc,22.82,0.77,0.10,-27.37,3.56,0.52,-23.76,MSI
821,821 Fanny,23-06-24,13:44--14:07, Rc,11.63,1.34,0.12,56.80,2.56,-1.32,85.86,MSI
821,821 Fanny,23-06-26,15:21--15:50, Rc,10.75,1.18,0.11,60.36,2.71,-1.17,91.33,MSI
1015,1015 Christa,23-06-25,12:39--13:02, Rc,10.76,1.19,0.10,-57.28,2.53,-1.15,96.76,MSI
1201,1201 Strenua,23-06-25,13:11--14:03, Rc,11.72,0.93,0.18,-69.09,5.65,-0.91,87.20,MSI
1542,1542 Schalen,23-09-24,12:45--13:09, Rc,9.68,1.16,0.08,78.87,2.04,-1.07,101.73,MSI
1754,1754 Cunningham,23-06-19,15:25--15:40, Rc,7.48,0.80,0.12,-40.78,4.44,-0.79,89.64,MSI
1754,1754 Cunningham,23-06-24,13:10--13:33, Rc,8.60,1.14,0.10,-46.02,2.50,-1.14,92.15,MSI
1795,1795 Woltjer,20-08-22,15:22--15:27, Rc,10.57,2.17,0.26,-73.34,3.43,-2.09,97.47,MSI
1867,1867 Deiphobus,23-09-24,16:21--17:12, Rc,6.82,0.48,0.11,116.18,6.84,-0.47,91.23,MSI
2569,2569 Madeline,23-09-24,14:27--14:46,Rc,8.85,1.29,0.07,145.12,1.47,-1.29,88.78,MSI
